PERMNO,date,PRC,SHROUT
10026,20161201,119.89000,18683
10026,20161202,120.39000,18683
10026,20161205,121.71000,18683
10026,20161206,124.45000,18683
10026,20161207,127.30000,18683
10026,20161208,129.39999,18683
10026,20161209,134.48000,18683
10026,20161212,133.30000,18683
10026,20161213,132.98000,18683
10026,20161214,130.62000,18683
10026,20161215,133.42999,18683
10026,20161216,133.92000,18683
10026,20161219,131.88000,18696
10026,20161220,132.63000,18696
10026,20161221,131.67999,18696
10026,20161222,132.17999,18696
10026,20161223,132.49001,18697
10026,20161227,133.72000,18697
10026,20161228,133.59000,18697
10026,20161229,133.03999,18697
10026,20161230,133.42999,18697
10032,20161201,50.73000,33515
10032,20161202,50.99000,33515
10032,20161205,51.36000,33515
10032,20161206,51.76000,33515
10032,20161207,52.56000,33515
10032,20161208,53.41000,33592
10032,20161209,53.32000,33592
10032,20161212,53.13000,33592
10032,20161213,53.40000,33592
10032,20161214,52.95000,33592
10032,20161215,53.66000,33592
10032,20161216,53.62000,33592
10032,20161219,53.80000,33592
10032,20161220,54.22000,33592
10032,20161221,54.44000,33592
10032,20161222,54.06000,33592
10032,20161223,54.45000,33592
10032,20161227,54.81000,33592
10032,20161228,54.29000,33592
10032,20161229,54.83000,33592
10032,20161230,54.04000,33556
